,id,date,code,name,open,high,low,close,volume,money,change_pct
55,1634684,2018-01-02,850936,铁路设备,12647.01,13090.21,12601.28,12992.5,303826785.0,3771403591.33,4.31
56,1634685,2018-01-02,850935,船舶制造,2780.72,2823.86,2772.99,2801.71,119936163.0,818080210.8,0.1
57,1634686,2018-01-02,852151,其他休闲服务,1630.68,1639.89,1613.56,1620.8,460000.0,11430000.0,-0.61
58,1634687,2018-01-02,850811,集成电路,2678.82,2725.3,2620.73,2701.24,486224543.0,9558465503.12,0.95
59,1634688,2018-01-02,850822,印制电路板,2877.38,2929.46,2825.14,2907.28,145840000.0,2318980000.0,1.41
60,1634689,2018-01-02,851122,其它视听器材,1628.98,1671.57,1616.04,1650.69,24774151.0,176763868.2,1.51
61,1634690,2018-01-02,851121,彩电,1330.81,1351.01,1326.66,1339.27,165624871.0,891381483.1,0.5
62,1634691,2018-01-02,851941,保险,1511.24,1561.49,1506.83,1553.0,237117114.0,12787050561.48,3.09
63,1634692,2018-01-02,850131,林业,1855.07,1907.0,1844.5,1860.29,2888220.0,34891679.6,0.04
64,1634694,2018-01-02,801181,房地产开发,5785.52,6024.82,5758.83,5919.57,2354078967.0,25952539043.72,2.77
65,1634695,2018-01-02,801182,园区开发,2514.18,2551.74,2502.71,2534.2,40121681.0,487991425.0,0.9
66,1634696,2018-01-02,801223,通信运营,2618.85,2655.14,2608.57,2649.03,168573444.0,1125117161.92,1.44
67,1634697,2018-01-02,801222,计算机应用,4328.71,4385.71,4275.57,4352.57,723814122.0,12345204089.19,1.0
68,1634698,2018-01-02,851325,鞋帽,1235.81,1250.19,1228.21,1242.4,15500000.0,184850000.0,0.46
69,1634699,2018-01-02,851324,休闲服装,2218.56,2238.33,2173.0,2198.06,32160000.0,237980000.0,-0.94
70,1634700,2018-01-02,851327,其他服装,3574.7,3616.92,3550.03,3589.97,53720000.0,567940000.0,0.6
71,1634701,2018-01-02,851326,家纺,2163.59,2200.21,2127.37,2167.1,29070000.0,465500000.0,0.07
