,id,date,code,name,open,high,low,close,volume,money,change_pct
0,1634847,2018-01-02,801752,互联网传媒,1220.8,1238.27,1209.71,1227.43,276160780.0,4333011659.23,0.55
1,1635206,2018-01-03,801752,互联网传媒,1224.62,1248.57,1213.37,1237.13,409396833.0,6539876705.21,0.79
2,1635565,2018-01-04,801752,互联网传媒,1233.31,1244.95,1219.68,1231.64,326015089.0,5368009381.0,-0.44
3,1635924,2018-01-05,801752,互联网传媒,1232.01,1247.98,1221.5,1230.25,323683982.0,5347096751.38,-0.11
4,1636283,2018-01-08,801752,互联网传媒,1228.0,1244.02,1208.55,1231.23,407210687.0,6322247154.66,0.08
5,1636642,2018-01-09,801752,互联网传媒,1230.81,1249.85,1217.27,1231.95,376601399.0,5499669886.5,0.06
6,1637001,2018-01-10,801752,互联网传媒,1234.19,1248.81,1216.22,1232.01,406873871.0,6337217429.67,0.0
7,1637360,2018-01-11,801752,互联网传媒,1230.23,1263.88,1217.26,1252.03,533296444.0,8039024854.6,1.63
8,1637719,2018-01-12,801752,互联网传媒,1254.45,1280.65,1240.43,1249.77,512827908.0,7925945235.71,-0.18
9,1638078,2018-01-15,801752,互联网传媒,1238.02,1250.15,1202.21,1212.97,554565238.0,7957753071.12,-2.94
10,1638437,2018-01-16,801752,互联网传媒,1210.06,1232.16,1194.66,1215.42,448483126.0,6438569835.02,0.2
11,1638796,2018-01-17,801752,互联网传媒,1210.64,1239.84,1188.36,1224.41,530160247.0,7843783392.33,0.74
12,1639155,2018-01-18,801752,互联网传媒,1220.08,1236.7,1208.36,1217.33,345405478.0,5098803485.49,-0.58
13,1639514,2018-01-19,801752,互联网传媒,1220.02,1242.44,1204.69,1222.09,444116522.0,6623216645.5,0.39
14,1639873,2018-01-22,801752,互联网传媒,1221.46,1264.88,1205.62,1249.29,627781043.0,9433328657.04,2.23
15,1640232,2018-01-23,801752,互联网传媒,1251.11,1266.66,1235.78,1248.98,496975604.0,8469582978.89,-0.03
16,1640591,2018-01-24,801752,互联网传媒,1233.74,1297.11,1223.81,1286.51,1042847567.0,17051326510.16,3.01
17,1640950,2018-01-25,801752,互联网传媒,1274.11,1316.72,1256.84,1268.16,1065905240.0,18486814102.66,-1.43
18,1641309,2018-01-26,801752,互联网传媒,1258.66,1286.56,1246.62,1266.91,689675008.0,11961347380.05,-0.1
19,1641668,2018-01-29,801752,互联网传媒,1254.33,1273.1,1228.27,1245.18,652359095.0,11263573201.17,-1.72
20,1642027,2018-01-30,801752,互联网传媒,1234.86,1252.52,1214.78,1227.41,497842132.0,8503921228.81,-1.43
21,1642386,2018-01-31,801752,互联网传媒,1204.37,1218.27,1164.97,1181.0,724793646.0,11110718059.07,-3.78
22,1642745,2018-02-01,801752,互联网传媒,1175.2,1194.01,1133.94,1148.38,674604847.0,10205598246.03,-2.76
